  Dados detalhados das AIH - por local internação - Pernambuco
Valor aprovado por Município e Ano/mês atendimento
Procedimento: 0303130075 TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES OSTEOMUSCULARES E DO TECIDO CONJUNT, 0303170093 TRATAMENTO EM PSIQUIATRIA (POR DIA)
Período:Jan/2008-Mar/2021
"Município";"1995/Ago";"1999/Ago";"2000/Jan";"2000/Set";"2001/Jan";"2002/Mar";"2003/Jan";"2005/Mai";"2006/Set";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Abr";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"261160 Recife";10536,67;10536,67;1267,55;629,11;1540,74;-;1283,84;1283,84;3677,89;21520,65;901,32;1002,62;-;-;-;-;-;-;55824,96;444361,00;7993496,37;721546,35;863573,97;742208,38;780129,28;616945,71;638541,85;733085,32;582910,60;549739,39;388234,81;584340,24;8752143,77;649128,16;709140,02;861149,77;841025,34;732800,20;826132,78;784037,29;699254,77;690554,09;495996,21;779185,75;17590241,75;934552,65;1031708,30;991702,55;1516799,81;920821,10;893308,28;1048067,12;1065848,75;1085019,65;656956,85;1183147,92;662444,51;595486,59;671343,72;650608,78;667409,76;647253,83;738236,50;819146,56;1018749,35;1111763,41;1153917,07;997613,74;492751,74;422115,25;641481,55;655938,81;563875,47;597727,50;604032,58;577135,67;541542,49;970843,87;456346,69;465844,23;580276,79;466864,20;547127,02;469707,27;412063,94;574878,44;550458,95;446826,64;459985,35;565735,99;445909,44;475535,17;469592,77;297593,25;405935,92;428826,25;370779,43;331082,17;299633,54;317464,80;364489,74;279544,25;274837,79;300787,18;304714,10;260772,59;361581,08;238026,24;280447,39;273456,70;277769,45;280600,42;254263,12;276753,96;320281,60;244976,58;239224,66;233844,41;288636,95;231721,64;293716,07;250138,88;238640,66;206424,24;165256,94;179992,57;150327,41;130572,90;130166,55;183677,50;174726,33;156052,20;173830,43;150154,20;161695,22;186621,63;187308,54;167846,53;146554,42;171694,23;184166,96;141455,40;157310,88;164326,60;170799,79;183595,26;142075,31;131409,15;151410,93;195873,85;169796,61;152333,41;156938,16;152064,10;162722,33;117202,84;188571,59;163171,68;153145,10;168362,75;187586,40;173221,11;152716,52;162457,98;185298,83;137870,51;115554,77;81459,66;85187,22;128747,51;155006,92;121618,05;140437,64;145574,23;127434,51;137522,35;138783,72;104938,70;70703,39;102078709,03
"261390 Serra Talhada";-;-;-;-;-;-;-;-;-;-;1045,05;2283,63;1741,75;1586,92;7586,28;10334,38;7392,75;19120,52;25855,29;111897,82;308444,34;165156,71;168020,87;207305,39;201075,36;172645,26;218774,84;167685,29;282436,17;188256,82;165816,64;196095,92;214815,19;184044,42;197504,12;207443,49;176374,62;182172,88;209879,13;204705,46;277751,93;184521,33;240861,94;279161,63;238217,86;208740,22;230862,23;229773,80;268287,22;267019,93;211826,61;230832,32;191478,91;209644,82;172686,93;48756,78;650807,35;189262,24;211657,73;220564,16;286577,08;236229,82;288018,46;235086,79;226587,88;257750,54;247233,64;270493,80;187025,78;221110,80;280980,88;207820,59;199252,15;262919,45;280662,73;243834,25;214709,19;254599,52;214957,63;201587,94;333236,46;199863,47;306477,66;270523,69;277134,23;186468,97;257397,77;242591,62;183794,98;166195,84;106112,01;216100,81;193188,29;197810,77;170922,49;162523,06;226637,68;50993,45;254917,71;197264,12;101937,16;234639,54;154371,90;156558,73;162821,00;202577,20;189376,63;193635,97;182403,41;170475,24;212487,65;148552,00;177035,82;152930,78;148258,76;158546,89;162662,18;152035,98;193134,01;164983,15;213516,55;164511,09;144332,31;192776,17;237870,10;183787,83;198054,61;209199,43;173064,18;119758,55;174198,32;148949,80;207472,58;114942,61;211349,03;111098,49;100782,68;21698,23;-;-;460727,24;79971,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24875292,95
"261450 Surubim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8430,42;-;-;35298,10;-;2467,44;-;-;19054,12;-;-;-;-;-;-;-;-;-;-;-;-;136737,30;-;-;-;2056,20;2604,52;479,78;-;-;-;-;-;-;-;-;-;-;-;-;-;1370,80;-;-;-;-;-;-;-;-;10692,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2124,74;-;-;127484,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5071,96;-;-;-;-;-;-;-;-;-;-;-;-;353872,02
"261530 Timbaúba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1561,17;-;-;-;2330,36;-;753,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5071,96;2124,74;4112,40;4249,48;2124,74;2056,20;2056,20;2056,20;2124,74;2124,74;-;-;2056,20;2124,74;2056,20;2124,74;-;2056,20;2124,74;2056,20;2124,74;2124,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51595,37
"261640 Vitória de Santo Antão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3632,62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1713,50;-;-;-;-;-;-;-;-;-;-;-;-;-;1370,80;-;-;-;-;-;-;-;-;-;-;-;6716,92
"Total";10536,67;10536,67;9878,20;629,11;1540,74;12295,07;1283,84;1283,84;3677,89;21520,65;4596,92;3286,25;1741,75;1586,92;7586,28;10334,38;104655,95;224547,97;171422,83;788455,10;24540077,35;1282780,26;3241003,16;1312736,20;1820252,55;1307578,32;1288274,36;1490382,79;1520759,34;1343396,01;1148682,16;1251120,78;28479726,10;1461848,46;1389930,70;1616095,48;1538497,14;1461023,68;1825983,08;1626792,77;1684036,66;1598300,42;1361692,74;1933261,68;47454044,03;1841148,07;2232954,63;2550711,17;6901547,31;1791991,08;1700343,78;3139503,62;2809682,71;2157243,18;1428593,63;3210117,40;5502497,75;1479292,14;1613218,09;1808933,55;1776189,13;1332348,50;2709705,05;1728597,83;1820480,02;1975580,41;2065586,08;1896782,90;3282457,05;1374710,50;1375197,36;1446978,39;1330743,18;1304112,20;1728736,95;1488004,66;1476456,56;1859760,36;1220190,81;1221153,64;1533286,73;1066778,02;1394413,73;1619943,61;1281867,04;1350153,29;1207305,72;1051423,43;998250,32;1352024,22;968847,97;979753,87;1302607,90;873678,70;1107346,37;930346,70;970673,61;886088,98;1176564,02;883249,70;702159,90;890475,05;561120,42;737828,05;832484,53;812881,79;843958,11;779484,88;729696,87;595272,27;941469,98;855528,88;628778,85;830133,19;658896,13;761433,17;829449,30;567289,94;591696,15;530800,54;674018,24;586708,60;445049,84;502479,63;529499,23;506346,66;454089,12;460937,37;389906,86;474071,27;349421,66;310073,96;461821,45;287073,27;396229,91;370899,57;315825,80;257656,60;183699,69;201783,29;647018,94;274271,64;157310,88;211124,33;190892,67;209855,96;267294,69;153296,70;190153,84;277932,45;236395,63;157986,94;197445,30;153777,60;168959,47;117202,84;270956,85;164165,70;230392,95;232246,82;277422,96;249007,09;237134,03;204057,95;227495,23;188565,61;192135,00;140880,07;256581,07;208384,03;209344,48;162258,71;178285,44;169281,74;166313,98;166430,00;168057,79;130852,89;99965,05;264865392,21
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
