  Dados detalhados das AIH - por local internação - Brasil
Valor aprovado por Unidade da Federação e Ano/mês atendimento
Procedimento: 0303170093 TRATAMENTO EM PSIQUIATRIA (POR DIA)
Período:Jan/2008-Mar/2021
"Unidade da Federação";"1992/Mar";"1992/Abr";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1996/Fev";"1996/Ago";"1996/Dez";"1997/Fev";"1998/Fev";"1998/Mar";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"27 Alagoas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1237,07;-;-;-;-;1197,17;-;-;-;-;-;1577,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;98291,21;9052136,52;833918,71;1104685,86;1131652,97;723833,67;1222682,54;1061122,11;995326,65;980401,59;1060932,34;1143786,60;901900,79;956839,54;737297,19;1282645,15;1080876,80;1201286,14;1192433,71;1054877,89;1522544,28;1448430,51;1191677,62;1268345,53;1293087,02;1293085,47;849072,65;1113160,16;1037588,02;1290293,16;925846,86;1092171,22;1133471,47;1166774,72;1093488,94;1133114,90;1062483,80;896226,39;1177619,35;1274338,13;857032,72;1360867,07;1285529,79;1221905,84;1540011,28;969178,59;1257776,84;1127305,79;1133759,12;1197309,91;978730,29;1270955,63;1077021,59;1104254,07;995605,39;1174944,91;1184765,27;989614,78;1174206,64;1047084,93;1043903,59;1136428,64;907270,13;1184128,63;1289555,56;1084581,88;876889,26;1136508,88;975830,41;910266,62;1034823,16;748363,26;477525,67;7947078,19;1035406,06;1080369,02;1187889,65;1099737,75;1149754,51;1087321,06;1008538,85;1128525,58;911238,46;1116214,83;1100332,14;1037374,36;667256,45;1244403,81;1061473,82;623824,72;784011,79;908632,99;833108,37;776650,99;813266,03;786734,79;767669,75;821899,90;690712,42;725722,24;637000,46;705831,52;674703,74;766784,90;751571,67;752403,29;863791,94;641199,80;785084,62;936986,08;647555,80;747511,16;666801,15;946122,75;572542,70;612927,44;682656,83;616936,34;720561,27;793662,67;717377,34;843931,80;149278,44;162743,72;162598,37;146726,35;135428,36;137005,07;156463,11;152425,89;160870,05;268248,00;184051,54;224486,88;144936,98;160161,80;147066,01;176436,33;202239,36;175120,21;165348,42;205434,94;186962,99;160504,14;185038,54;205135,03;202270,32;155991,22;103564,25;95421,75;125732,60;107377,97;189706,53;191622,28;149368,14;121925,85;131472,85;126627,66;96497,85;62538,07;141331618,17
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1283,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1199,87;-;1199,87;1006,34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1122,46;-;-;-;-;-;-;-;-;-;-;199190,60;904789,50;346838,76;380610,71;358041,26;317305,76;418524,21;283135,38;387345,80;338649,85;389344,03;297664,46;328235,75;339677,40;283364,07;380164,53;307632,87;280762,49;335566,16;355011,19;264473,42;336830,98;363740,95;325791,30;286626,64;349747,25;249847,88;349797,02;344180,86;343286,38;340304,11;331656,04;441744,38;325592,39;383196,11;327282,19;458990,40;364309,69;335781,35;383295,69;388067,11;304867,07;275046,23;340601,89;95028,62;276487,65;334240,17;293683,95;290006,29;320522,75;304220,69;357649,69;332450,94;300393,84;286974,54;265553,37;210931,79;260284,85;361874,47;149352,26;67941,45;128924,77;167095,45;115604,93;109243,16;108746,22;126340,50;130316,57;163467,30;93140,03;108050,33;89809,93;85187,70;128228,88;92344,87;130863,29;75744,58;154471,41;125396,15;177830,96;176737,65;115853,45;116300,81;134242,91;97116,08;208496,58;73607,47;150992,35;68637,33;72712,75;77583,50;108944,98;100943,10;151091,68;121718,25;86479,99;128378,20;93935,25;54571,82;103328,86;152533,03;81609,35;141847,28;125942,85;91301,12;56162,29;14015,71;178526,72;84094,36;116847,41;49750,92;117443,99;94680,75;69979,31;89462,13;91499,93;128328,58;105416,21;145226,92;93984,96;69631,32;93338,74;110982,81;72464,33;60237,75;106012,69;52931,84;13021,70;10934,19;-;400691,52;101340,70;52583,78;120575,05;95028,67;39860,33;41997,49;85933,38;54174,25;123308,75;98010,78;82454,25;147761,77;96917,38;96768,26;137225,08;107801,96;146817,44;62325,34;26341,66;14711,58;55565,98;50247,93;119332,62;40456,78;35536,32;34691,45;38269,88;24403,26;6610,24;29668754,92
"29 Bahia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1159,29;-;629,11;-;-;-;124,23;-;-;-;-;-;-;-;-;-;-;-;1271,11;-;-;-;-;-;952,65;-;-;-;-;-;1905,30;143,60;-;1741,75;92433,44;265047,59;4221707,28;550064,37;619110,76;604164,67;584268,45;565504,70;14565496,27;723306,77;615662,09;654743,94;624743,97;540443,48;610596,67;561516,88;643989,44;619757,89;611814,03;614078,69;601899,23;603913,40;639321,63;734226,91;699533,78;990706,42;749470,09;684277,80;856703,22;768525,61;872564,49;757507,30;748488,89;699964,10;714579,67;699983,37;781000,67;678344,70;874949,13;589683,46;792595,52;647512,69;628363,80;574738,17;662928,27;4638343,79;665132,73;1533036,47;721914,24;613254,26;717948,97;620210,30;929636,07;614439,62;778482,30;704611,05;623607,23;721379,30;600223,12;710942,23;619982,73;611203,31;726097,10;593487,87;631181,56;1076464,38;617955,49;457812,40;661810,49;658000,27;508965,21;631886,29;478779,63;539934,45;609322,58;591614,21;666180,40;599260,93;681124,56;532633,46;668219,72;517530,84;520233,58;431683,26;390690,03;436695,29;366413,68;335316,88;377222,02;388439,40;494534,72;448232,87;810340,01;472310,62;403413,10;361355,85;2526779,17;494136,49;438461,55;357492,50;346690,98;407465,99;386571,62;474062,27;585085,01;396125,09;472332,08;481607,46;477711,71;544399,86;717540,89;605387,93;502844,66;395176,90;275663,08;278985,91;464950,74;553594,95;475230,92;514662,57;492939,97;397675,79;1294939,15;1049978,74;390905,99;489184,54;381659,90;426052,72;413688,80;504534,59;440247,33;533435,19;385611,85;464755,36;319230,60;277586,91;266321,85;235294,21;252952,90;185595,25;199925,70;167499,19;200786,77;167183,89;173094,00;195250,15;287701,31;338697,75;332106,11;161367,42;130590,21;132025,02;153563,22;195072,76;224677,13;271841,57;169475,48;126001,70;116671,27;131615,33;83188,94;108391538,50
"31 Minas Gerais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1401,46;4629,85;-;-;-;-;-;-;-;-;2399,23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1059,11;-;-;-;-;-;-;-;-;-;-;-;-;-;1540,74;-;-;-;-;-;-;-;-;696,70;-;-;-;-;-;-;-;-;-;-;-;-;1157,76;-;-;-;-;-;-;-;-;-;-;-;-;3337,89;19900,56;21379,32;28497,11;200285,95;1092577,50;62676176,84;2491196,39;3630903,32;2160354,09;2181059,09;2385197,93;2735484,91;2510707,59;2699948,13;2522662,08;2312480,92;4371228,66;2413563,91;2217762,60;2561315,46;2214273,47;2620642,01;2291098,20;2793384,94;2425916,17;2130988,95;2547833,55;2395007,82;2322960,57;2391983,53;2430544,17;2611919,17;2617297,48;2475329,29;2264177,29;2176816,42;3072211,12;2301696,86;2205182,92;2143835,15;1980868,20;2203780,06;2013301,07;2048743,76;2081307,27;2229818,29;1928251,41;2474228,61;2507461,87;2086233,86;2598730,91;2236528,12;2189921,71;2560791,88;2125638,52;2562216,34;2145020,09;2397693,92;2641164,96;2878826,44;3273835,67;1891568,25;2013905,43;2015053,52;1763396,03;2182053,29;1531484,32;5365879,24;2140265,77;1985121,46;1959733,59;1964833,29;1941468,78;1676186,07;1741032,61;1421888,35;1432487,40;2480604,98;1746685,75;1504448,95;1586973,55;1484881,07;1352398,80;1530298,47;1478803,77;1462969,63;1623581,62;1452095,81;1412141,74;1283454,31;1012135,93;1596263,28;1410749,40;1345822,58;1070895,20;1290559,28;1203718,45;1157580,54;1204483,87;1038994,39;1376847,18;1100002,82;1189760,56;1175743,74;1003753,12;1002910,15;955243,46;850326,85;1472545,52;760497,59;660905,87;662954,33;942093,28;727716,83;740934,02;851661,51;601373,94;1083582,01;778044,10;775509,49;687881,37;818402,51;721284,49;596250,43;754577,58;666132,77;596039,61;709492,79;575382,70;765537,39;563448,30;953147,70;722231,99;604228,88;635165,85;660054,77;572498,40;708283,60;663277,93;654829,20;620138,26;688776,77;517112,68;722472,22;686246,61;660610,12;703096,14;740351,73;709268,12;697735,05;563446,29;401282,32;342102,83;261666,16;465984,77;428195,17;305042,85;335349,67;553885,75;381321,02;367613,04;367820,36;125583,40;31939,02;308620860,89
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1121,89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1083,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1083,47;-;-;-;-;-;-;-;-;729,35;1358,10;53297,90;5389827,53;424283,12;432801,43;729989,03;513590,86;472833,44;677015,39;628390,84;501304,31;419538,44;555026,00;509348,82;591051,05;441794,36;441383,41;530156,88;602991,49;630839,89;639581,38;668028,02;629849,52;809197,72;594721,56;572420,48;762934,40;497070,06;670247,37;663695,00;680089,25;482959,92;724589,82;799637,10;1518726,80;676862,61;691463,13;732355,92;776329,18;549233,88;672776,59;755665,00;719770,61;619191,81;600844,88;886526,87;710422,07;557625,58;586055,86;690986,16;458455,52;486120,63;531946,74;605806,88;567870,13;589837,72;707431,94;714481,02;655418,48;563946,62;461824,14;506284,93;523590,69;448883,04;491994,96;550011,03;482566,84;494497,94;592353,86;598364,74;442318,91;500871,37;596231,07;451723,44;445249,84;432266,83;464257,86;377378,13;484569,95;369487,72;430846,89;531519,02;490613,64;372892,58;315870,22;512855,75;307210,54;257663,50;219360,83;81163,63;65100,95;131044,56;68555,72;100348,69;101675,41;63463,87;54858,72;71917,40;116146,10;91108,89;125589,46;70382,36;83790,87;136475,27;225072,68;69304,77;93424,31;96269,62;54695,37;103955,86;116346,26;64436,51;92907,79;104914,90;92050,15;75247,24;80028,68;127808,01;88376,64;116043,01;73087,85;88367,48;105995,60;113581,26;106331,42;111180,63;71036,64;38532,08;52988,07;103153,62;133534,60;94746,30;118751,20;135134,60;92670,13;80140,81;112950,24;134053,16;96227,32;105363,67;118442,11;150498,09;112896,45;109045,90;105815,84;91367,46;112117,38;73156,89;82309,62;72690,77;68572,07;71620,44;87453,02;75850,19;107521,92;117581,41;108805,70;93715,00;81515,78;58153,51;34545,35;61389580,24
"33 Rio de Janeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2361,04;782,36;2408,35;-;1267,55;-;-;1441,34;-;-;-;-;-;-;-;1491,04;-;5914,46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1048,52;-;-;-;-;-;1441,34;-;-;-;-;-;5735,05;-;-;-;-;-;-;-;-;-;2802,92;-;3258,99;779,65;768,91;-;1225,30;4157,68;-;1161,17;-;-;-;-;1083,47;-;-;1225,30;257,34;1309,80;1056,28;546,85;5369,75;8058,00;36065,16;315809,68;163622660,79;12460314,48;4608472,47;5576276,58;4106995,16;5016975,27;4092863,74;4305682,98;3778213,87;4120707,31;3651716,27;3537563,25;7021441,36;3188376,60;3801154,02;3362849,72;5054525,37;4439409,00;4784039,46;4293276,12;3216210,76;3710831,06;3466368,82;3996734,41;5032194,90;3571866,46;3005902,60;22888495,05;4198462,82;3270273,59;4718340,14;3990833,76;4857913,57;4091200,04;2986625,65;2878292,44;15524261,90;10916233,64;4366841,44;3271611,67;3663069,05;3386475,76;3974436,01;3741287,16;4105241,93;3842776,83;3329968,01;2963317,85;8597327,32;2300837,64;3090819,54;2736406,15;3251728,96;2712510,28;3561222,20;2781414,35;2780892,46;2808099,47;2655487,02;2558144,14;17719341,45;2953368,47;2313309,44;2759730,51;4310800,90;2598943,11;3433947,93;3831477,93;2778806,91;2821465,94;2172935,02;2180727,68;8050472,52;1903613,85;2231172,36;1622669,79;2286520,70;2077527,65;1982945,78;1706814,02;1847475,78;1558143,07;2106097,69;5390383,63;1569933,14;1419963,27;1771787,17;1870372,78;2722173,12;3585332,64;4471834,95;2124096,72;3479369,77;2056359,77;1767709,37;1283371,80;1368611,23;1534105,90;2090066,26;1824738,64;1220147,78;1483065,98;6578077,72;1513976,35;1177532,72;2157572,34;1939486,11;1703456,32;3657346,67;1179944,85;1224393,20;1201332,49;1157141,83;969003,02;979579,88;1260447,60;935900,06;1558550,69;1076938,28;1007459,61;774155,22;636033,35;658000,76;573962,40;792469,78;572311,37;683403,55;867359,46;320487,07;359621,26;374146,22;255811,30;345107,12;399972,14;461032,38;401390,27;265598,39;1296117,66;436942,17;405945,79;192960,50;416896,67;205971,03;244126,80;272152,50;307080,05;211253,41;140603,30;133304,60;176459,77;147544,41;164658,94;190241,01;309036,90;208643,43;217396,35;174985,76;123740,40;66998,02;604377091,64
"35 São Paulo";40218,96;11392,04;39809,34;19904,67;19904,67;23374,12;19904,67;-;19442,14;-;14672,77;37331,15;19904,67;38882,55;16133,26;2750,47;642995,16;1274027,05;1357948,46;18977,88;-;23253,09;39809,34;19904,67;19904,67;19904,67;45758,75;20502,61;92473,45;9622,24;20056,62;18668,53;1267,55;19169,46;-;23547,15;78452,91;38882,55;1283,84;-;20367,77;1540,74;205603,14;377559,34;18515,35;54199,21;19904,67;-;18977,88;45220,94;97349,49;11116,57;37218,28;22015,74;-;18977,88;18977,88;57860,43;28576,12;19904,67;19904,67;36037,93;-;18977,88;5197,08;19904,67;19904,67;56624,28;777,31;38882,55;62946,24;57860,43;37955,76;14921,83;19904,67;54089,02;52605,07;78691,89;57860,43;75911,52;19904,67;18977,88;69460,67;18977,88;295,75;8695,45;11195,81;241658,52;26183,25;12288,96;39809,34;22535,88;6786,52;21188,51;85465,45;40979,59;43950,40;38882,55;22101,44;46686,79;20274,55;-;19904,67;-;-;8695,45;22327,58;60505,80;45024,17;19967,71;1199,87;64604,89;40248,62;21104,54;31820,56;160291,50;330768,63;1452277,39;431460940,96;8547334,12;7085944,17;8178628,58;7839200,14;7078401,74;8766172,20;9145252,73;8632106,70;8551891,98;7302071,26;8157180,01;9494157,71;7538395,35;8892939,10;8234600,52;8229369,15;7591086,78;8140829,93;7234644,11;8377522,71;7853778,24;8786531,98;8839232,40;9116893,06;7642183,33;9970930,64;8365501,52;8546130,46;8369731,62;8416656,03;10049932,40;9592080,71;11472938,25;12322983,21;8482545,35;10453395,43;7683914,11;8434468,76;7780557,23;8935298,15;9228012,87;9290722,64;8113252,19;8177714,95;8057522,91;7636544,84;7928930,64;8600358,66;7531523,45;7563397,34;6860031,38;7229353,08;8176058,71;7825865,01;7509754,94;6194899,10;7582408,27;6993967,20;6236871,67;8266931,16;7526943,98;6780285,01;6310615,78;6360855,24;5967923,62;6539401,36;6390824,28;7170091,48;11237084,89;6899847,06;7060909,87;13761808,53;6845517,12;5411407,11;5109107,05;6013163,73;5483836,18;10584651,89;12831572,03;12229997,76;5063935,80;4224594,73;4861477,58;8310880,93;4389416,71;5310633,27;4332795,81;4352747,41;6356332,38;4425932,54;5504654,38;3938658,48;4016326,26;3385005,02;4315288,23;6082157,85;3700179,67;4123784,23;3820599,02;3647476,87;3738305,11;3287565,28;3582632,20;3624304,86;3131019,36;2904395,99;3100780,83;5170668,11;2767977,49;3344984,43;2743152,84;3058118,18;2948140,34;2734165,44;9132767,66;2732687,26;4083992,06;2831023,55;2671522,42;4090361,55;1502387,70;1360865,19;1088384,93;1034593,21;990894,16;1210518,19;1059863,75;706232,62;812642,20;793728,35;663759,04;1580144,47;590718,38;485094,72;496146,44;433659,67;445172,81;478756,12;470985,09;465265,95;391426,45;526198,04;347764,11;982983,55;362804,11;381811,78;258304,49;234985,77;295652,36;277406,06;327926,00;303090,98;305013,57;208987,01;297659,42;368920,14;201967,35;74055,28;1284780450,77
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3093,72;-;-;-;35,59;-;-;-;2160,89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;478,86;1432,10;-;-;524,26;-;-;-;-;-;-;-;-;-;-;-;-;1197,17;-;-;-;-;299,17;-;-;1303,55;-;-;-;119,71;-;-;11849,24;49368,57;92436,99;671037,97;8379858,51;2239627,25;2459931,89;2427980,97;2485034,41;2437635,61;2760277,02;2371800,94;2335296,05;2774466,28;2429796,27;2683489,56;2720201,80;2152317,94;3042228,80;2689882,94;2831602,91;2551002,91;2806357,48;2677967,78;2780341,75;2879529,96;2908488,02;3717573,57;3469043,25;2858318,35;3741370,95;3236301,43;3201439,28;3284491,65;3535979,59;3650232,49;3253474,73;3248216,01;3175101,31;3214687,88;3119386,35;3030732,70;3462959,78;3158478,90;3205142,88;2889796,57;3156691,30;3376879,27;3207145,48;2976908,10;3047992,60;2932578,87;3073972,99;2551984,06;3032818,57;2920516,98;3221689,23;2729616,90;2928682,25;2950184,75;2628344,03;2859035,82;2878914,40;2541456,24;2893986,74;2392172,61;2804814,98;2798677,00;2606255,31;2345398,27;2471255,63;2674260,76;2304150,59;2628052,05;2318579,71;2048733,28;2342353,82;2071500,33;2236794,60;2449185,60;2243947,15;2031692,93;2356339,30;2209453,91;2219142,42;2697204,12;2041797,78;2180507,54;2288203,17;2028827,97;2532884,07;2198023,88;2063473,58;2005059,76;2118737,28;1908690,91;1997798,86;2185036,02;2020537,39;2006421,24;1998595,52;1923756,42;2376139,65;2077122,68;1960010,35;2090830,92;2222031,20;2079417,41;2073077,89;2052098,75;1963778,05;2014187,33;2188760,95;1780115,49;2300155,70;1964976,10;2008553,93;2072939,61;2136088,74;2144727,67;2346802,94;2231241,47;2171575,58;1723171,47;2079374,07;647161,89;699090,56;508406,24;307534,21;192142,62;174324,35;90932,00;59081,32;83829,31;64091,90;64789,06;56554,21;-;871,41;-;-;149,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319777032,98
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;955,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1117,36;-;-;-;-;-;43,44;-;917,83;-;1476,51;138057,93;25270836,36;432008,51;518132,12;647463,67;588096,99;581040,05;467884,58;616595,53;462705,05;680414,56;556483,05;944300,30;809890,01;436271,27;626280,57;566605,46;472740,79;520488,46;708921,18;450216,19;442553,92;587362,64;523213,31;746745,19;541640,23;676465,32;529750,93;506291,06;527429,65;765055,40;605165,30;513354,27;600163,28;434406,43;585737,70;687215,04;621807,10;767369,32;788810,74;577652,03;645779,57;745069,40;635696,46;909859,41;547387,64;613339,53;529224,43;531842,81;586974,53;509450,42;868332,90;511527,82;527041,71;501464,93;657405,14;801444,80;496998,31;667525,28;493275,47;555448,60;744221,11;311262,30;389916,62;498679,45;696765,81;496898,20;490308,42;478604,78;475718,87;631657,40;476007,77;440967,67;566029,78;552980,02;619516,37;658245,78;625543,65;320734,85;567130,73;625680,34;501969,51;505688,42;605087,45;674441,96;633117,38;484332,98;407005,44;473159,14;377875,32;499075,34;262801,87;297817,07;280588,89;355889,04;338745,28;288907,56;778651,90;355864,09;457152,12;290577,74;434308,92;307826,35;7681929,12;397654,34;545486,83;271070,90;287461,11;287542,80;311344,44;420674,45;336366,81;249346,84;303158,42;234058,23;291380,44;286234,65;222469,53;266909,68;287704,88;234702,59;241226,56;209457,06;294215,85;247703,49;297843,01;221697,99;226857,67;317312,04;274008,82;313848,03;224475,20;221931,81;224874,60;195685,27;266520,32;247279,39;257029,52;265341,88;149892,85;-;270704,67;251526,13;249523,29;330466,20;265649,44;249920,17;159574,28;134683,92;177148,73;181068,10;182042,50;193553,91;204446,55;197983,54;205674,11;205917,50;182910,80;153043,74;51969,70;102601480,12
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;873,76;244,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;411,36;1048,52;-;-;-;-;-;-;-;-;-;-;-;-;1199,87;-;-;-;347,90;-;-;-;-;-;-;-;-;-;2661,87;7218,57;38040,97;128472,32;424688,04;1415711,53;662378,88;746305,62;755997,73;759023,79;718320,58;744567,84;832630,63;766926,48;838556,76;677701,39;857297,28;909303,31;726526,75;826501,74;932110,47;831458,79;847231,96;856670,31;898299,87;863301,56;970514,45;964171,80;1003827,66;956861,70;898853,65;1056746,68;1027822,73;948602,96;897402,39;1056202,65;1104327,86;997881,31;1005615,37;967447,18;1025875,39;941338,15;1020685,27;1006004,73;1088867,30;965532,39;952570,89;1008568,44;1043666,49;985338,77;1012060,15;952110,08;927664,46;1003003,79;907720,63;1137303,76;981414,33;1002077,82;957794,35;906189,86;1080773,64;902361,37;1026060,17;922164,35;886848,09;1013726,33;827328,69;920996,74;878447,73;946411,26;949951,89;994589,04;973217,23;847811,92;1097710,05;911293,41;843082,09;1046696,27;758756,42;936121,53;993559,08;890699,04;798281,29;1010004,94;950590,17;910438,10;854170,59;915922,11;741881,13;829355,52;744484,71;765719,27;696182,91;786129,75;670340,04;711565,48;741515,63;820899,13;755500,57;790963,40;695781,15;727236,59;694976,90;750765,74;663193,98;668441,26;761202,11;732344,33;836147,44;709389,09;810613,63;707962,72;812301,85;771027,25;632606,24;834823,31;668998,63;766397,57;749045,44;807147,95;963642,32;763559,20;842280,10;674973,36;755133,93;847027,43;283107,87;289836,53;330594,39;296547,78;342887,95;201351,59;24726,81;2033,78;1610,06;-;1271,11;1101,63;3778,28;-;-;2485,05;198,80;-;695,81;1441,33;1441,33;1836,59;1836,58;6113,21;7400,84;2683,85;1838,93;-;1491,03;-;447,31;695,81;3926,39;19433,12;15556,42;7405,42;3427,02;-;108402869,76
